tester_index,i,j,value
10,1,1,100.00
10,1,2,80.00
10,1,3,60.00
10,1,4,30.00
10,2,0,60.00
10,2,1,80.00
10,2,2,100.00
10,2,3,30.00
10,2,4,80.00
10,3,0,60.00
10,3,1,60.00
10,3,2,30.00
10,3,3,100.00
10,3,4,70.00
10,4,0,60.00
10,4,1,30.00
10,4,2,80.00
10,4,3,70.00
10,4,4,100.00
11,0,0,100.00
11,0,1,50.00
11,0,2,70.00
11,0,3,70.00
11,0,4,70.00
11,1,0,50.00
11,1,1,100.00
11,1,2,80.00
11,1,3,40.00
11,1,4,60.00
11,2,0,70.00
11,2,1,80.00
11,2,2,100.00
11,2,3,70.00
11,2,4,40.00
11,3,0,70.00
11,3,1,40.00
11,3,2,70.00
11,3,3,100.00
11,3,4,80.00
11,4,0,70.00
11,4,1,60.00
11,4,2,40.00
11,4,3,80.00
11,4,4,100.00
12,0,0,100.00
12,0,1,50.00
12,0,2,30.00
12,0,3,80.00
12,0,4,40.00
12,1,0,50.00
12,1,1,100.00
12,1,2,50.00
12,1,3,30.00
12,1,4,40.00
12,2,0,30.00
12,2,1,50.00
12,2,2,100.00
12,2,3,60.00
12,2,4,30.00
12,3,0,80.00
12,3,1,30.00
12,3,2,60.00
12,3,3,100.00
12,3,4,80.00
12,4,0,40.00
12,4,1,40.00
12,4,2,30.00
12,4,3,80.00
12,4,4,100.00
13,0,0,100.00
13,0,1,70.00
13,0,2,50.00
13,0,3,30.00
13,0,4,60.00
13,1,0,70.00
13,1,1,100.00
13,1,2,50.00
13,1,3,40.00
13,1,4,40.00
13,2,0,50.00
13,2,1,50.00
13,2,2,100.00
13,2,3,80.00
13,2,4,70.00
13,3,0,30.00
13,3,1,40.00
13,3,2,80.00
13,3,3,100.00
13,3,4,30.00
13,4,0,60.00
13,4,1,40.00
13,4,2,70.00
13,4,3,30.00
13,4,4,100.00
14,0,0,100.00
14,0,1,80.00
14,0,2,70.00
14,0,3,70.00
14,0,4,40.00
14,1,0,80.00
14,1,1,100.00
14,1,2,70.00
14,1,3,50.00
14,1,4,70.00
14,2,0,70.00
14,2,1,70.00
14,2,2,100.00
14,2,3,40.00
14,2,4,80.00
14,3,0,70.00
14,3,1,50.00
14,3,2,40.00
14,3,3,100.00
14,3,4,40.00
14,4,0,40.00
14,4,1,70.00
14,4,2,80.00
14,4,3,40.00
14,4,4,100.00
15,0,0,100.00
15,0,1,80.00
15,0,2,50.00
15,0,3,30.00
15,0,4,60.00
15,1,0,80.00
15,1,1,100.00
15,1,2,60.00
15,1,3,30.00
15,1,4,30.00
15,2,0,50.00
15,2,1,60.00
15,2,2,100.00
15,2,3,40.00
15,2,4,30.00
15,3,0,30.00
15,3,1,30.00
15,3,2,40.00
15,3,3,100.00
15,3,4,60.00
15,4,0,60.00
15,4,1,30.00
15,4,2,30.00
15,4,3,60.00
15,4,4,100.00
16,0,0,100.00
16,0,1,50.00
16,0,2,70.00
16,0,3,30.00
16,0,4,70.00
16,1,0,50.00
16,1,1,100.00
16,1,2,50.00
16,1,3,60.00
16,1,4,80.00
16,2,0,70.00
16,2,1,50.00
16,2,2,100.00
16,2,3,30.00
16,2,4,60.00
16,3,0,30.00
16,3,1,60.00
16,3,2,30.00
16,3,3,100.00
16,3,4,50.00
16,4,0,70.00
16,4,1,80.00
16,4,2,60.00
16,4,3,50.00
16,4,4,100.00
17,0,0,100.00
17,0,1,70.00
17,0,2,80.00
17,0,3,80.00
17,0,4,40.00
17,1,0,70.00
17,1,1,100.00
17,1,2,30.00
17,1,3,60.00
17,1,4,60.00
17,2,0,80.00
17,2,1,30.00
17,2,2,100.00
17,2,3,40.00
17,2,4,30.00
17,3,0,80.00
17,3,1,60.00
17,3,2,40.00
17,3,3,100.00
17,3,4,50.00
17,4,0,40.00
17,4,1,60.00
17,4,2,30.00
17,4,3,50.00
17,4,4,100.00
18,0,0,100.00
18,0,1,50.00
18,0,2,60.00
18,0,3,70.00
18,0,4,70.00
18,1,0,50.00
18,1,1,100.00
18,1,2,60.00
18,1,3,60.00
18,1,4,80.00
18,2,0,60.00
18,2,1,60.00
18,2,2,100.00
18,2,3,40.00
18,2,4,50.00
18,3,0,70.00
18,3,1,60.00
18,3,2,40.00
18,3,3,100.00
18,3,4,40.00
18,4,0,70.00
18,4,1,80.00
18,4,2,50.00
18,4,3,40.00
18,4,4,100.00
19,0,0,100.00
19,0,1,60.00
19,0,2,70.00
19,0,3,60.00
19,0,4,60.00
19,1,0,60.00
19,1,1,100.00
19,1,2,40.00
19,1,3,80.00
19,1,4,50.00
19,2,0,70.00
19,2,1,40.00
19,2,2,100.00
19,2,3,70.00
19,2,4,80.00
19,3,0,60.00
19,3,1,80.00
19,3,2,70.00
19,3,3,100.00
19,3,4,40.00
19,4,0,60.00
19,4,1,50.00
19,4,2,80.00
19,4,3,40.00
19,4,4,100.00
